end_date,Headline,yes,pos,neg,neu,compound
2021-04-14,Republicans in two rural Georgia counties censure Gov. Brian Kemp and others,52.0,0.0,0.0,1.0,0.0
2021-04-14,"Shades of 2016: Republicans Stay Silent on Trump, Hoping He Fades Away",52.0,0.203,0.0,0.797,0.4215
2021-04-14,What the Fight for D.C. Statehood Means,52.0,0.0,0.302,0.698,-0.3818
2021-04-15,"As Biden Pulls Out of Afghanistan, How Much Do Americans Care?",52.449999999999996,0.242,0.0,0.758,0.4939
2021-04-15,How the G.O.P. Lost Its Clear Voice on Foreign Policy,52.449999999999996,0.202,0.178,0.62,0.0772
2021-04-15,"Vernon Jones, a Pro-Trump Republican, Will Challenge Kemp in Georgia",52.449999999999996,0.14,0.0,0.86,0.0772
2021-04-16,"Biden’s approval rating rises, helped by the vaccine distribution push.",55.0,0.256,0.0,0.744,0.4767
2021-04-16,Dark Money in the New York Mayor’s Race,55.0,0.0,0.0,1.0,0.0
2021-04-16,How Democrats Who Lost in Deep-Red Places Might Have Helped Biden,55.0,0.0,0.187,0.813,-0.3182
2021-04-17,100 Days Without Trump on Twitter: A Nation Scrolls More Calmly,54.0,0.224,0.0,0.776,0.3804
2021-04-17,A War Is Ending. A Pennsylvania Town Exhales.,54.0,0.0,0.438,0.562,-0.5994
2021-04-17,"Danica Roem, a Pathbreaking Lawmaker, on the Fight for Trans Rights",54.0,0.0,0.224,0.776,-0.3818
2021-04-17,The Republican Retreat on World Affairs,54.0,0.265,0.0,0.735,0.2023
2021-04-18,No articles found,54.0,0.0,0.524,0.476,-0.296
2021-04-19,How Much Sway Does the N.R.A. Still Have?,56.57142857142857,0.0,0.0,1.0,0.0
2021-04-19,Why Political Sectarianism Is a Growing Threat to American Democracy,56.57142857142857,0.14,0.281,0.579,-0.4019
